Title,Description,Deadline,D_day,Area,Category,Education,EmploymentType,Field1,Field2,Company,JobPost,CollectDate
Electric Engineer 모집,"채용공고 상세Electric Engineer 모집2001년 04월 11일에 설립된 금속 절삭기계 제조업업종의 금속절삭기(워터젯절단기,정모연마가공기),산업기계,전자기기 제조/부동산 임대사업을 하는 중소기업,  외부감사법인,  수출입 기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 무관ㆍ나이/성별 : 무관Electric Engineer 모집Engineering 0명담당업무ㆍ자동화 장비 PLC 및 HMI 설계ㆍ전기 회로 설계ㆍPC 기반 모션제어 개발ㆍ안전 인증 관련 업무 대응(CE)ㆍ기술문서 검토 및 사양 선정ㆍ프로젝트 관리ㆍ매뉴얼 작성지원자격ㆍ자동화 및 반도체 산업, 기계 설비 제어 경력 5년 이상ㆍ PLC & HMI 숙련자ㆍ자동화 장비 설계 및 책임자로 수행가능 할 것ㆍAuto CAD 숙련자            ㆍ기타 필수 사항        우대사항ㆍ영어 숙련자근무조건ㆍ근무형태:정규직ㆍ근무일시:주 5일(월~금) 오전 8시 30분~오후 5시 30분ㆍ급여:회사내규에 따름ㆍ근무지역:(621-842) 경남 김해시 주촌면 골든루트로 129번길 19전형절차 서류전형 1차면접 2차면접 신체검사 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 7일 (월) 11시  ~ 2020년 11월 6일 (금) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:자유양식ㆍ제출서류:지원 시, 영문 자기소개서 첨부 필수 입사 시, - 주민등록등본,- 증명사진,- 근로소득증명서 (원천징수영수증, 원천징수부 등),- 경력증명서 (건강보험득실확인서 대체 가능),- 최종학력 졸업증명서유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201106,30,경남 김해시,경력5년↑,학력무관,정규직,,,(주)티오피에스,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38735026&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
고등 영어 문법 문항 출제 및 해설 외주자 모집 (재택),"채용공고 상세고등 영어 문법 문항 출제 및 해설 외주자 모집 (재택)2000년 08월 28일에 설립된 데이터베이스 및 온라인정보 제공업업종의 인터넷정보관련사업을 하는 중소기업,  주식회사,  병역특례 인증업체기업 입니다.모집부문 및 상세내용모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관고등 영어 문법문항 출제 및 해설 외주자 모집 (재택) 0명담당업무ㆍ고등 영어 문법문항 출제 및 해설지원자격ㆍ경력 : 무관 (신입도 지원 가능)            ㆍ기타 필수 사항        우대사항근무조건ㆍ근무형태:프리랜서ㆍ근무일시:탄력적근무제 탄력근무제ㆍ급여:회사내규에 따름ㆍ근무지역:(08376) 서울 구로구 디지털로33길 55 이앤씨벤처드림타워2차 805호 - 서울 7호선 남구로 에서 500m 이내전형절차 서류전형 문항출제 테스트(온라인) 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 17일 (목) 17시  ~ 2020년 10월 17일 (토) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201017,10,서울 구로구,경력무관,대졸↑,프리랜서,,,교육지대㈜,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38794834&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
대기업문화재단 미술관 - 온라인마케팅 경력직 채용,"채용공고 상세[대기업문화재단 미술관 ]온라인마케팅 경력직 채용2003년 01월 04일에 설립된 상용 인력 공급 및 인사관리 서비스업업종의 헤드헌팅컨설팅,인사,경영자문컨설팅사업을 하는 중소기업,  주식회사기업 입니다.모집부문 및 상세내용수행업무- 온라인 컨텐츠 기획, 제작- SNS 등 채널 운영전시 디자인 0명담당업무ㆍ지원자격ㆍ학력 : 대졸 이상 (4년) / 인문/상경/예술 전공자 (디지털컨텐츠, 디자인, 미디어 등)ㆍ경력 : 총 경력 2년 ~ 6년 ㆍ영어 가능자 (해외 SNS 커뮤니케이션 가능한 분)            ㆍ기타 필수 사항        우대사항근무조건ㆍ근무형태:정규직ㆍ근무일시:ㆍ급여:면접후 결정ㆍ근무지역:(06167) 서울 강남구 테헤란로87길 35 씨엔드에치빌딩(삼성동) - 서울 2호선 삼성 에서 500m 이내전형절차 서류전형 1차면접 2차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 24일 (목) 16시  ~ 2020년 10월 23일 (금) 24시ㆍ접수방법:사람인 입사지원 or 메일 지원 hipark@careercare.co.kr (전화문의 02-2286-3913)ㆍ이력서양식:자유양식 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201024,17,서울 강남구,경력 2~6년,대졸↑,정규직,,,커리어케어,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38828278&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
기업부설연구소 연구원모집(신입환영),"채용공고 상세기업부설연구소 연구원모집(신입환영)1998년 09월 25일에 설립된 기타 물품 취급장비 제조업업종의 운반기계,자동화설비,전동지게차,리프트,크레인,고소작업대,컨베어 제조,도매/부동산 임대사업을 하는 중소기업,  외부감사법인,  수출입 기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 대졸 이상 (2,3년)ㆍ나이/성별 : 무관/남R&D부설연구소 2명담당업무ㆍ신입가능 - 마이크로프로세서 펌웨어 개발, 소프트웨어지원자격ㆍ경력 : 신입 (연구원, 선임연구원급)            ㆍ기타 필수 사항        우대사항ㆍ전기/전자공학, 컴퓨터/시스템공학ㆍ소프트웨어초급( C, C#, C++)근무조건ㆍ근무형태:정규직(수습기간)-3개월ㆍ근무일시:토요일 격주휴무(월~토) 오전 8 : 00 ~ 오후 6 : 00ㆍ급여:면접후 결정ㆍ근무지역:(618-230) 부산 강서구 지사동 산 71-1번지 한성웰텍(주전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 08월 13일 (목) 15시 ~ 2020년 10월 12일 (월) 24시 ㆍ접수방법:사람인 입사지원ㆍ이력서양식:자유양식ㆍ제출서류:이력서, 자기소개서, 경력기술서등유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201012,5,부산 강서구,신입,초대졸↑,정규직,,,한성웰텍(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38612018&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
"(주)피씨디렉트 광주지사 AS응대, 물류 및 사무보조 계약직 채용","채용공고 상세(주)피씨디렉트 광주지사 AS응대, 물류 및 사무보조 계약직 채용1998년 08월 21일에 설립된 컴퓨터 및 주변장치, 소프트웨어 도매업업종의 데이타저장장치,연산장치,보조기억장치,보조연산장치 도소매/전자상거래사업을 하는 코스닥,  중견기업,  주식회사기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 무관ㆍ나이/성별 : 무관광주지사피씨디렉트 광주지사 (금호월드) 1명담당업무ㆍAS응대, 물류관리, 사무보조지원자격ㆍ경력 : 무관 (신입도 지원 가능)            ㆍ기타 필수 사항        우대사항ㆍ컴퓨터/시스템공학ㆍ컴퓨터활용능력1급 , OA사무자동화근무조건ㆍ근무형태:계약직-6개월ㆍ근무일시:주 5일(월~금) 09:30 ~ 19:30ㆍ급여:회사내규에 따름ㆍ근무지역:(61937) 광주 서구 군분2로 54 금호월드 5층 3호, 4호(화정동) - 광주 1호선 농성 에서 800m 이내전형절차 서류전형 1차 면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 8월 14일 (금) 09시  ~ 2020년 10월 13일 (화) 24시ㆍ접수방법:사람인 입사지원, 전화 지원, 회사방문 접수ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:이력서 제출 부탁 드립니다.유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201013,6,광주 서구,경력무관,학력무관,계약직,,,(주)피씨디렉트,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38614934&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
"H/W, F/W 경력 & 신입 개발자 모집","채용공고 상세H/W, F/W 경력 & 신입 개발자 모집2007년 07월 03일에 설립된 응용 소프트웨어 개발 및 공급업업종의 소프트웨어(생체신호모듈 및 패치형 체온 측정시스템 등) 개발,공급/컴퓨터,주변기기,의료,통신 기기 도소매사업을 하는 코넥스,  중소기업,  주식회사,  연구소,  병역특례 인증업체기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 무관ㆍ나이/성별 : 무관H/W 설계기업부설연구소 0명담당업무ㆍ- 아날로그 신호처리 설계 / PCB 설계지원자격ㆍ경력 : 신입/경력 3년 ~ 7년(사원, 주임, 대리급)ㆍAnalog/Digital 회로설계 경력 3년 이상ㆍ마이컴 (Atmel, STM32 등)ㆍORCAD, PADS 가능자ㆍ신입의 경우, 관련 전공자(의공/전자/이공) 우대             ㆍ기타 필수 사항        우대사항ㆍ전기/전자공학, 공학계열, 산업공학ㆍ해당직무 근무경험, 석사학위 수여자ㆍ유/무선 통신관련 경험자   - Bluetooth(Classic, BLE), WIFI, ZigBee, Serial 등ㆍ양산품 개발 경험자ㆍ Altium 가능자ㆍ국가 연구 과제 경험자 우대ㆍ자격증: 전자기사, 의공기사, 전기기사ㆍ특별고용촉진장려금 지원대상자 우대F/W 설계연구소 0명담당업무ㆍ- 생체 신호처리 알고리즘 포팅 및 개발 / RTOS 기반 응용 FW 개발지원자격ㆍ경력 : 신입/경력 3년 ~ 7년(사원, 대리, 과장급)ㆍ관련 펌웨어 개발 경력 3년 이상ㆍ임베디드 FW 라이브러리 포팅 및 개발 가능자ㆍCortex-M 시리즈(IAR 또는 KEIL 등) 사용 가능자            ㆍ기타 필수 사항        우대사항ㆍ전기전자공학, 전산학, 컴퓨터공학, 응용소프트웨어공학ㆍ해당직무 근무경험ㆍ신호처리 알고리즘 개발 경험자ㆍ의료관련 디바이스 개발 경력자ㆍ국가 연구과제 경험자 우대ㆍ공인 영어시험 성적 보유자ㆍ석사학위 수여자ㆍ특별고용촉진장려금 지원대상자 우대근무조건ㆍ근무형태:정규직(수습기간)-3개월, 병역특례(전문연구요원)ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시ㆍ급여:면접후 결정(3,000~5,000)ㆍ근무지역:(157-200) 서울 강서구 가양동 강서한강자이타워 B동 1207호전형절차 서류전형 1차면접 2차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 17일 (목) 13시  ~ 2020년 11월 16일 (월) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:포트폴리오가 있으면 제출해주세요.유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201116,40,서울 강서구,신입·경력,학력무관,정규직·전문연구요원,,,(주)라이프사이언스테크놀로지,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38792834&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
시스템 유지보수 (SM) - 웹 개발자 (JAVA / JSP / SPRING ) 채용,"채용공고 상세시스템 유지보수 (SM) - 웹 개발자 (JAVA / JSP / SPRING ) 채용2006년 09월 26일에 설립된 응용 소프트웨어 개발 및 공급업업종의 소프트웨어(여권보안장비,방송송출장비,가상교육 솔루션,컨텐츠) 개발/방송전송장비 도매/정보통신공사사업을 하는 중소기업,  주식회사기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 고졸 이상ㆍ나이/성별 : 무관SM 웹 개발/유지보수(java jsp spring )전산팀 0명담당업무ㆍ홈페이지  유지보수지원자격ㆍ경력 : 경력 5년 이상            ㆍ기타 필수 사항        우대사항ㆍ컴퓨터/시스템공학ㆍ정보처리기사ㆍ컴퓨터활용능력 우수, 해당직무 근무경험ㆍLMS 개발 유경험자ㆍ전자정부프레임워크 유경험자ㆍWOWZA 등 영상 스트리밍 서버 연동 경험자근무조건ㆍ근무형태:계약직(기간제/정규직 전환가능)-1년ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시ㆍ급여:면접후 결정ㆍ근무지역:(02455) 서울 동대문구 회기로 47 한국개발연구원(청량리동) - 서울 6호선 고려대 에서 800m 이내전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 10월 6일 (화) 13시  ~ 2020년 11월 5일 (목) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:- 이력서/경력기술서유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201105,29,서울 동대문구,경력5년↑,고졸↑,기간제·계약직,,,(주)메디오피아테크,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38868938&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
(소프트웨어) 기술지원 및 연구개발 경력사원 채용,"채용공고 상세(소프트웨어) 기술지원 및 연구개발 경력사원 채용1998년 02월 13일에 설립된 컴퓨터 제조업업종의 컴퓨터부품,방송,무선통신기기,자동제어반,유선통신기기 제조/신재생에너지산업/컴퓨터,주변기기,철도신호제어시스템 도소매사업을 하는 중소기업,  주식회사,  외부감사법인기업 입니다.모집부문 및 상세내용모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관기술지원 및 연구개발영업기술팀 0명담당업무ㆍ모델링&시뮬레이션 분야 기술지원, 개발용역, 고객교육지원자격ㆍ경력 : 경력 3년 이상기술요건ㆍ지형/지물/타겟 3D Database 제작 가능자ㆍ모델링 & 시뮬레이션 프로젝트 경험자            ㆍ기타 필수 사항        우대사항ㆍIR & Radar 합성영상 시뮬레이션 관련 프로젝트 경험자ㆍHardware in the loop & Software in the loop 시뮬레이션 경험자ㆍC, C++, Python, OpenGL 등 사용 가능자ㆍ영어회화 가능자ㆍ이공계열 관련분야 석사/박사근무조건ㆍ근무형태:정규직ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시ㆍ급여:회사내규에 따름ㆍ근무지역:(34025) 대전 유성구 테크노2로 199 미건테크노월드 205호(용산동)전형절차 서류전형 면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 10월 6일 (화) 13시  ~ 2020년 11월 5일 (목) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201105,29,대전 유성구,경력3년↑,대졸↑,정규직,,,에이스트로닉스(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38869049&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
온라인 마케터 경력자 모집(정규직),"채용공고 상세온라인 마케터 경력자 모집(정규직)골판지 상자 및 가공제품 제조업업종의 골판지(지함) 제조,도매,무역사업을 하는 중소기업,  외부감사법인,  주식회사,  병역특례 인증업체,  수출입 기업 입니다.모집부문 및 상세내용모집부문상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관온라인 마케터영업부 1명담당업무ㆍ온라인 마케팅 기획 및 시행 : 각종 온라인 이벤트 기획ㆍ바이럴 마케팅 : SNS(인스타그램,유튜브,플랫폼 등) 광고기획ㆍ시장&소비자 분석 : 광고&캠페인 성과 분석 통한 마케팅 기획서 및 결과리포트ㆍDB수집 계획 및 실행 , 키워드/DA관리ㆍ그외 부서 제반 업무지원자격ㆍ경력 : 경력 3년 이상            ㆍ기타 필수 사항        우대사항ㆍ해당직무 근무경험ㆍ광고채널(인스타그램,유튜브 등) 및 쇼핑몰 운영 경험있으신분ㆍ영상 및 이미지 편집&제작 가능하신분ㆍ타부서와의 원활한 협업이 가능하신분근무조건ㆍ근무형태:정규직(수습기간)-2개월ㆍ근무일시:주 5일(월~금) 08:00 ~ 18:00ㆍ급여:면접후 결정(퇴직금별도)ㆍ근무지역:(618-819) 부산 강서구 송정동 1737-15전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 10월 6일 (화) 07시  ~ 2020년 11월 5일 (목) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:이력서, 자기소개서유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201105,29,부산 강서구,경력3년↑,대졸↑,정규직,제지,쇼핑몰·오픈마켓,세화골판지공업(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38864819&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
[국내 게임사] 글로벌 홍보 경력직,"채용공고 상세[국내 게임사] 글로벌 홍보 경력직2003년 01월 04일에 설립된 상용 인력 공급 및 인사관리 서비스업업종의 헤드헌팅컨설팅,인사,경영자문컨설팅사업을 하는 중소기업,  주식회사기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관글로벌 홍보 0명담당업무ㆍ- 글로벌 기업 홍보 전략 기획/운영    - 국/영문 보도자료/기획자료 개발, 검수    - 글로벌 및 국내 미디어 대응/관계 관리    - 글로벌 및 국내 게임 전시회/미디어 이벤트 운영    - 해외 법인 및 PR 에이전시 관리/협업    - 뉴스 모니터링/이슈 대응지원자격ㆍ경력 : 유관경력 5년 이상   - 게임 시장 및 환경에 대한 이해   - 영어 비지니스 커뮤니케이션 능력    - 보도자료/기획자료 작성 능력   - 기업 홍보/게임 홍보 전략 수립 및 운영 능력   - 효율적인 해외 법인/에이전시 관리 및 협업 능력            ㆍ기타 필수 사항        우대사항근무조건ㆍ근무형태:정규직ㆍ근무일시:ㆍ급여:면접후 결정ㆍ근무지역:(06167) 서울 강남구 테헤란로87길 35 씨엔드에치빌딩(삼성동) - 서울 2호선 삼성 에서 500m 이내전형절차 서류전형 1차면접 2차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 10월 5일 (월) 17시  ~ 2020년 10월 30일 (금) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201030,23,서울 강남구,경력5년↑,대졸↑,정규직,,,커리어케어,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38863408&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
